date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-01,AC,Acrelândia,city,8,0,False,15256,1200013,52.43838,
2020-04-01,AC,Porto Acre,city,1,0,False,18504,1200807,5.40424,
2020-04-01,AC,Rio Branco,city,34,0,False,407319,1200401,8.34727,
2020-04-01,AL,Importados/Indefinidos,city,4,0,False,,,,
2020-04-01,AL,Maceió,city,13,1,False,1018948,2704302,1.27583,0.0769
2020-04-01,AL,Porto Real do Colégio,city,1,0,False,20066,2707503,4.98355,
2020-04-01,AM,Anori,city,1,0,False,21010,1300102,4.75964,
2020-04-01,AM,Boca do Acre,city,1,0,False,34308,1300706,2.91477,
2020-04-01,AM,Careiro da Várzea,city,1,0,False,30225,1301159,3.30852,
2020-04-01,AM,Itacoatiara,city,4,0,False,101337,1301902,3.94723,
2020-04-01,AM,Manacapuru,city,6,0,False,97377,1302504,6.16162,
2020-04-01,AM,Manaus,city,179,2,False,2182763,1302603,8.20062,0.0112
2020-04-01,AM,Novo Airão,city,1,0,False,19454,1303205,5.14033,
2020-04-01,AM,Parintins,city,3,1,False,114273,1303403,2.62529,0.3333
2020-04-01,AM,Santo Antônio do Içá,city,4,0,False,21602,1303700,18.5168,
2020-04-01,AP,Macapá,city,11,0,False,503327,1600303,2.18546,
2020-04-01,BA,Alagoinhas,city,3,0,False,151596,2900702,1.97894,
2020-04-01,BA,Barra,city,1,0,False,53578,2902708,1.86644,
2020-04-01,BA,Barra do Rocha,city,1,0,False,5714,2903102,17.50088,
2020-04-01,BA,Barreiras,city,1,0,False,155439,2903201,0.64334,
2020-04-01,BA,Brumado,city,5,0,False,67195,2904605,7.44103,
2020-04-01,BA,Camaçari,city,4,0,False,299132,2905701,1.3372,
2020-04-01,BA,Canarana,city,1,0,False,26176,2906204,3.82029,
2020-04-01,BA,Candeias,city,1,0,False,87076,2906501,1.14842,
2020-04-01,BA,Catu,city,0,0,False,54704,2907509,,
2020-04-01,BA,Coaraci,city,1,0,False,16993,2908002,5.88478,
2020-04-01,BA,Conceição do Jacuípe,city,1,0,False,33153,2908507,3.01632,
2020-04-01,BA,Conde,city,1,0,False,25837,2908606,3.87042,
2020-04-01,BA,Dias d'Ávila,city,1,0,False,81089,2910057,1.23321,
2020-04-01,BA,Feira de Santana,city,19,0,False,614872,2910800,3.09007,
2020-04-01,BA,Ilhéus,city,7,0,False,162327,2913606,4.31228,
2020-04-01,BA,Importados/Indefinidos,city,0,0,False,,,,
2020-04-01,BA,Ipiaú,city,1,0,False,45873,2913903,2.17993,
2020-04-01,BA,Itabuna,city,4,0,False,213223,2914802,1.87597,
2020-04-01,BA,Itagibá,city,1,0,False,14579,2915205,6.85918,
2020-04-01,BA,Itajuípe,city,3,0,False,20491,2915502,14.64057,
2020-04-01,BA,Itamaraju,city,1,0,False,64486,2915601,1.55072,
2020-04-01,BA,Itororó,city,1,0,False,20382,2917102,4.90629,
2020-04-01,BA,Jequié,city,1,0,False,155966,2918001,0.64117,
2020-04-01,BA,Juazeiro,city,2,0,False,216707,2918407,0.92291,
2020-04-01,BA,Lauro de Freitas,city,12,0,False,198440,2919207,6.04717,
2020-04-01,BA,Medeiros Neto,city,1,0,False,22688,2921104,4.40762,
2020-04-01,BA,Nova Soure,city,1,0,False,26947,2922904,3.71099,
2020-04-01,BA,Pojuca,city,1,0,False,39519,2925204,2.53043,
2020-04-01,BA,Porto Seguro,city,10,0,False,148686,2925303,6.72558,
2020-04-01,BA,Prado,city,3,0,False,28174,2925501,10.64812,
2020-04-01,BA,Salvador,city,153,2,False,2872347,2927408,5.32665,0.0131
2020-04-01,BA,São Domingos,city,1,0,False,9058,2928950,11.03996,
2020-04-01,BA,Teixeira de Freitas,city,2,0,False,160487,2931350,1.24621,
2020-04-01,BA,Vitória da Conquista,city,1,0,False,341597,2933307,0.29274,
2020-04-01,CE,Aquiraz,city,14,0,True,80271,2301000,17.44092,
2020-04-01,CE,Beberibe,city,1,0,True,53573,2302206,1.86661,
2020-04-01,CE,Caucaia,city,1,0,True,361400,2303709,0.2767,
2020-04-01,CE,Eusébio,city,1,1,True,53618,2304285,1.86505,1.0
2020-04-01,CE,Fortaleza,city,413,6,True,2669342,2304400,15.47198,0.0145
2020-04-01,CE,Fortim,city,1,0,True,16480,2304459,6.06796,
2020-04-01,CE,Itaitinga,city,1,0,True,37980,2306256,2.63296,
2020-04-01,CE,Juazeiro do Norte,city,1,0,True,274207,2307304,0.36469,
2020-04-01,CE,Maracanaú,city,1,0,True,227886,2307650,0.43882,
2020-04-01,CE,Maranguape,city,1,0,True,128978,2307700,0.77533,
2020-04-01,CE,Mauriti,city,1,0,True,47962,2308104,2.08498,
2020-04-01,CE,Quixadá,city,2,0,True,87728,2311306,2.27977,
2020-04-01,CE,Santa Quitéria,city,1,1,True,43703,2312205,2.28817,1.0
2020-04-01,CE,Sobral,city,5,0,True,208935,2312908,2.39309,
2020-04-01,CE,Tianguá,city,1,1,True,75946,2313401,1.31673,1.0
2020-04-01,DF,Brasília,city,370,4,False,3015268,5300108,12.27088,0.0108
2020-04-01,ES,Afonso Cláudio,city,1,0,True,30586,3200102,3.26947,
2020-04-01,ES,Alto Rio Novo,city,0,0,True,7836,3200359,,
2020-04-01,ES,Aracruz,city,1,0,True,101220,3200607,0.98795,
2020-04-01,ES,Cachoeiro de Itapemirim,city,1,0,True,208972,3201209,0.47853,
2020-04-01,ES,Cariacica,city,7,0,True,381285,3201308,1.8359,
2020-04-01,ES,Castelo,city,2,0,True,37534,3201407,5.3285,
2020-04-01,ES,Guarapari,city,2,0,True,124859,3202405,1.60181,
2020-04-01,ES,Importados/Indefinidos,city,0,0,True,,,,
2020-04-01,ES,Itapemirim,city,1,0,True,34348,3202801,2.91138,
2020-04-01,ES,Linhares,city,7,0,True,173555,3203205,4.0333,
2020-04-01,ES,Santa Teresa,city,1,0,True,23590,3204609,4.23908,
2020-04-01,ES,São Mateus,city,3,0,True,130611,3204906,2.2969,
2020-04-01,ES,São Roque do Canaã,city,1,0,True,12415,3204955,8.05477,
2020-04-01,ES,Serra,city,22,0,True,517510,3205002,4.25113,
2020-04-01,ES,Viana,city,1,0,True,78239,3205101,1.27813,
2020-04-01,ES,Vila Velha,city,36,0,True,493838,3205200,7.28984,
2020-04-01,ES,Vitória,city,34,0,True,362097,3205309,9.38975,
2020-04-01,GO,Águas Lindas de Goiás,city,1,0,False,212440,5200258,0.47072,
2020-04-01,GO,Anápolis,city,4,0,False,386923,5201108,1.0338,
2020-04-01,GO,Aparecida de Goiânia,city,2,0,False,578179,5201405,0.34591,
2020-04-01,GO,Caldas Novas,city,1,0,False,91162,5204508,1.09695,
2020-04-01,GO,Campestre de Goiás,city,1,0,False,3630,5204607,27.54821,
2020-04-01,GO,Catalão,city,1,0,False,108823,5205109,0.91892,
2020-04-01,GO,Cidade Ocidental,city,1,0,False,71376,5205497,1.40103,
2020-04-01,GO,Goianésia,city,1,0,False,70084,5208608,1.42686,
2020-04-01,GO,Goiânia,city,42,0,False,1516113,5208707,2.77024,
2020-04-01,GO,Hidrolândia,city,0,0,False,21706,5209705,,
2020-04-01,GO,Importados/Indefinidos,city,0,0,False,,,,
2020-04-01,GO,Itumbiara,city,2,0,False,104742,5211503,1.90945,
2020-04-01,GO,Jataí,city,2,0,False,100882,5211909,1.98251,
2020-04-01,GO,Luziânia,city,1,1,False,208299,5212501,0.48008,1.0
2020-04-01,GO,Paranaiguara,city,1,0,False,10057,5216304,9.94332,
2020-04-01,GO,Rio Verde,city,7,0,False,235647,5218805,2.97054,
2020-04-01,GO,Silvânia,city,1,0,False,20695,5220603,4.83209,
2020-04-01,GO,Trindade,city,1,0,False,127599,5221403,0.78371,
2020-04-01,GO,Valparaíso de Goiás,city,4,0,False,168468,5221858,2.37434,
2020-04-01,MA,Açailândia,city,1,0,False,112445,2100055,0.88932,
2020-04-01,MA,Imperatriz,city,1,0,False,258682,2105302,0.38658,
2020-04-01,MA,São Luís,city,68,1,False,1101884,2111300,6.17125,0.0147
2020-04-01,MG,Alfenas,city,1,0,False,79996,3101607,1.25006,
2020-04-01,MG,Araguari,city,1,0,False,117267,3103504,0.85275,
2020-04-01,MG,Belo Horizonte,city,188,2,False,2512070,3106200,7.48387,0.0106
2020-04-01,MG,Betim,city,5,0,False,439340,3106705,1.13807,
2020-04-01,MG,Boa Esperança,city,1,0,False,40127,3107109,2.49209,
2020-04-01,MG,Bom Despacho,city,1,0,False,50605,3107406,1.97609,
2020-04-01,MG,Campo Belo,city,1,0,False,54029,3111200,1.85086,
2020-04-01,MG,Campos Altos,city,1,0,False,15461,3111507,6.46789,
2020-04-01,MG,Capitólio,city,1,0,False,8632,3112802,11.5848,
2020-04-01,MG,Carmo do Cajuru,city,1,0,False,22478,3114204,4.44879,
2020-04-01,MG,Contagem,city,7,0,False,663855,3118601,1.05445,
2020-04-01,MG,Coronel Fabriciano,city,1,0,False,109855,3119401,0.91029,
2020-04-01,MG,Divinópolis,city,13,0,False,238230,3122306,5.45691,
2020-04-01,MG,Extrema,city,1,0,False,36225,3125101,2.76052,
2020-04-01,MG,Governador Valadares,city,2,0,False,279885,3127701,0.71458,
2020-04-01,MG,Guimarânia,city,1,0,False,8039,3128907,12.43936,
2020-04-01,MG,Importados/Indefinidos,city,2,0,False,,,,
2020-04-01,MG,Ipatinga,city,1,0,False,263410,3131307,0.37964,
2020-04-01,MG,Juiz de Fora,city,24,0,False,568873,3136702,4.21887,
2020-04-01,MG,Lagoa da Prata,city,4,0,False,52165,3137205,7.66798,
2020-04-01,MG,Lavras,city,1,0,False,103773,3138203,0.96364,
2020-04-01,MG,Manhuaçu,city,1,0,False,90229,3139409,1.10829,
2020-04-01,MG,Mariana,city,2,1,False,60724,3140001,3.29359,0.5
2020-04-01,MG,Muriaé,city,1,0,False,108763,3143906,0.91943,
2020-04-01,MG,Nova Lima,city,19,0,False,94889,3144805,20.0234,
2020-04-01,MG,Patrocínio,city,1,0,False,90757,3148103,1.10184,
2020-04-01,MG,Poços de Caldas,city,2,0,False,167397,3151800,1.19476,
2020-04-01,MG,Pouso Alegre,city,1,0,False,150737,3152501,0.66341,
2020-04-01,MG,Sabará,city,4,0,False,136344,3156700,2.93376,
2020-04-01,MG,Santa Luzia,city,1,0,False,219134,3157807,0.45634,
2020-04-01,MG,São João del Rei,city,2,0,False,90082,3162500,2.2202,
2020-04-01,MG,Serra do Salitre,city,1,0,False,11582,3166808,8.63409,
2020-04-01,MG,Sete Lagoas,city,2,0,False,239639,3167202,0.83459,
2020-04-01,MG,Timóteo,city,1,0,False,89842,3168705,1.11307,
2020-04-01,MG,Uberaba,city,3,0,False,333783,3170107,0.89879,
2020-04-01,MG,Uberlândia,city,14,0,False,691305,3170206,2.02516,
2020-04-01,MG,Unaí,city,1,0,False,84378,3170404,1.18514,
2020-04-01,MS,Alcinópolis,city,1,0,False,5343,5000252,18.71608,
2020-04-01,MS,Batayporã,city,3,1,False,11329,5002001,26.48071,0.3333
2020-04-01,MS,Campo Grande,city,38,0,False,895982,5002704,4.24116,
2020-04-01,MS,Dourados,city,3,0,False,222949,5003702,1.3456,
2020-04-01,MS,Nova Andradina,city,2,0,False,54374,5006200,3.67823,
2020-04-01,MS,Ponta Porã,city,1,0,False,92526,5006606,1.08078,
2020-04-01,MS,Rio Verde de Mato Grosso,city,1,0,False,19746,5007406,5.06432,
2020-04-01,MS,Sidrolândia,city,1,0,False,57665,5007901,1.73415,
2020-04-01,MS,Três Lagoas,city,1,0,False,121388,5008305,0.8238,
2020-04-01,MT,Cuiabá,city,19,0,False,612547,5103403,3.1018,
2020-04-01,MT,Nova Monte Verde,city,1,0,False,9178,5108956,10.89562,
2020-04-01,MT,Rondonópolis,city,5,0,False,232491,5107602,2.15062,
2020-04-01,MT,Tangará da Serra,city,1,0,False,103750,5107958,0.96386,
2020-04-01,MT,Várzea Grande,city,2,0,False,284971,5108402,0.70183,
2020-04-01,PA,Abaetetuba,city,1,0,False,157698,1500107,0.63412,
2020-04-01,PA,Ananindeua,city,7,0,False,530598,1500800,1.31927,
2020-04-01,PA,Barcarena,city,1,0,False,124680,1501303,0.80205,
2020-04-01,PA,Belém,city,25,0,False,1492745,1501402,1.67477,
2020-04-01,PA,Castanhal,city,1,0,False,200793,1502400,0.49803,
2020-04-01,PA,Itaituba,city,1,0,False,101247,1503606,0.98768,
2020-04-01,PA,Marabá,city,1,0,False,279349,1504208,0.35798,
2020-04-01,PA,Marituba,city,1,0,False,131521,1504422,0.76033,
2020-04-01,PA,Parauapebas,city,1,0,False,208273,1505536,0.48014,
2020-04-01,PA,Santarém,city,1,1,False,304589,1506807,0.32831,1.0
2020-04-01,PA,Tucuruí,city,1,0,False,113659,1508100,0.87982,
2020-04-01,PB,Cabedelo,city,1,,False,67736,2503209,1.47632,
2020-04-01,PB,Campina Grande,city,2,,False,409731,2504009,0.48813,
2020-04-01,PB,Igaracy,city,1,,False,6117,2502607,16.34788,
2020-04-01,PB,João Pessoa,city,15,,False,809015,2507507,1.85411,
2020-04-01,PB,Patos,city,1,1,False,107605,2510808,0.92932,1.0
2020-04-01,PB,Sousa,city,1,,False,69444,2516201,1.44001,
2020-04-01,PE,Aliança,city,1,0,False,38386,2600708,2.60512,
2020-04-01,PE,Belo Jardim,city,1,0,False,76439,2601706,1.30823,
2020-04-01,PE,Camaragibe,city,2,0,False,157828,2603454,1.2672,
2020-04-01,PE,Caruaru,city,1,0,False,361118,2604106,0.27692,
2020-04-01,PE,Fernando de Noronha,city,2,0,False,3061,2605459,65.33812,
2020-04-01,PE,Goiana,city,1,1,False,79758,2606200,1.25379,1.0
2020-04-01,PE,Importados/Indefinidos,city,5,1,False,,,,0.2
2020-04-01,PE,Ipubi,city,1,0,False,30854,2607307,3.24107,
2020-04-01,PE,Jaboatão dos Guararapes,city,6,0,False,702298,2607901,0.85434,
2020-04-01,PE,Olinda,city,5,1,False,392482,2609600,1.27394,0.2
2020-04-01,PE,Palmares,city,1,0,False,63250,2610004,1.58103,
2020-04-01,PE,Petrolina,city,2,0,False,349145,2611101,0.57283,
2020-04-01,PE,Recife,city,64,5,False,1645727,2611606,3.88886,0.0781
2020-04-01,PE,São Lourenço da Mata,city,3,0,False,113230,2613701,2.64947,
2020-04-01,PI,Parnaíba,city,1,1,True,153078,2207702,0.65326,1.0
2020-04-01,PI,São José do Divino,city,1,1,True,5346,2210052,18.70557,1.0
2020-04-01,PI,Teresina,city,17,2,True,864845,2211001,1.96567,0.1176
2020-04-01,PR,Almirante Tamandaré,city,3,0,False,118623,4100400,2.52902,
2020-04-01,PR,Arapongas,city,2,0,False,123027,4101507,1.62566,
2020-04-01,PR,Araucária,city,1,0,False,143843,4101804,0.6952,
2020-04-01,PR,Assis Chateaubriand,city,1,0,False,33362,4102000,2.99742,
2020-04-01,PR,Cambé,city,1,0,False,106533,4103701,0.93868,
2020-04-01,PR,Campo Largo,city,4,0,False,132002,4104204,3.03026,
2020-04-01,PR,Campo Mourão,city,4,0,False,94859,4104303,4.21678,
2020-04-01,PR,Cascavel,city,10,1,False,328454,4104808,3.04457,0.1
2020-04-01,PR,Castro,city,1,0,False,71484,4104907,1.39891,
2020-04-01,PR,Cianorte,city,8,0,False,82620,4105508,9.68289,
2020-04-01,PR,Colombo,city,0,0,False,243726,4105805,,
2020-04-01,PR,Contenda,city,1,0,False,18584,4106209,5.38097,
2020-04-01,PR,Curitiba,city,97,0,False,1933105,4106902,5.01783,
2020-04-01,PR,Faxinal,city,1,0,False,17251,4107603,5.79677,
2020-04-01,PR,Fazenda Rio Grande,city,1,0,False,100209,4107652,0.99791,
2020-04-01,PR,Foz do Iguaçu,city,12,0,False,258532,4108304,4.64159,
2020-04-01,PR,Francisco Beltrão,city,1,0,False,91093,4108403,1.09778,
2020-04-01,PR,Goioerê,city,1,0,False,28884,4108601,3.46212,
2020-04-01,PR,Guaíra,city,2,0,False,33119,4108809,6.03883,
2020-04-01,PR,Guarapuava,city,1,0,False,181504,4109401,0.55095,
2020-04-01,PR,Ibaiti,city,1,0,False,31364,4109708,3.18837,
2020-04-01,PR,Importados/Indefinidos,city,5,0,False,,,,
2020-04-01,PR,Iretama,city,1,0,False,10169,4110805,9.83381,
2020-04-01,PR,Lapa,city,1,0,False,48163,4113205,2.07628,
2020-04-01,PR,Londrina,city,26,0,False,569733,4113700,4.56354,
2020-04-01,PR,Marechal Cândido Rondon,city,1,0,False,52944,4114609,1.88879,
2020-04-01,PR,Maringá,city,10,2,False,423666,4115200,2.36035,0.2
2020-04-01,PR,Mariópolis,city,1,0,False,6610,4115309,15.12859,
2020-04-01,PR,Matinhos,city,1,0,False,34720,4115705,2.88018,
2020-04-01,PR,Medianeira,city,1,0,False,46198,4115804,2.1646,
2020-04-01,PR,Paranavaí,city,2,0,False,88374,4118402,2.26311,
2020-04-01,PR,Pato Branco,city,2,0,False,82881,4118501,2.4131,
2020-04-01,PR,Peabiru,city,1,0,False,13996,4118808,7.1449,
2020-04-01,PR,Pinhais,city,5,0,False,132157,4119152,3.78338,
2020-04-01,PR,Ponta Grossa,city,3,0,False,351736,4119905,0.85291,
2020-04-01,PR,Quatiguá,city,2,0,False,7449,4120705,26.84924,
2020-04-01,PR,Quatro Barras,city,1,0,False,23559,4120804,4.24466,
2020-04-01,PR,Rio Branco do Sul,city,1,0,False,32397,4122206,3.08671,
